AR, 2018, kidney, 1099, num, deceased
AR, 2004, heart/lung, -, num, deceased
AR, 2004, kidney, 14.70, pmp, deceased
AR, 2004, liver, 5.20, pmp, deceased
AR, 2004, pancreas, 0, pmp, deceased
AR, 2004, heart, 1.8, pmp, deceased
AR, 2004, lung, 0.4, pmp, deceased
AR, 2004, heart/lung, -, pmp, deceased
AR, 2004, kidney, 188, num, living
AR, 2004, liver, 50, num, living
AR, 2004, pancreas, -, num, living
AR, 2004, heart, -, num, living
AR, 2004, lung, -, num, living
AR, 2004, heart/lung, -, num, living
AR, 2004, kidney, 4.90, pmp, living
AR, 2004, liver, 1.30, pmp, living
AR, 2004, pancreas, -, pmp, living
AR, 2004, heart, -, pmp, living
AR, 2004, lung, -, pmp, living
AR, 2004, heart/lung, -, pmp, living
AR, 2005, kidney, 599, num, deceased
AR, 2005, liver, 208, num, deceased
AR, 2005, pancreas, 0, num, deceased
AR, 2005, heart, 85, num, deceased
AR, 2005, lung, 6, num, deceased
AR, 2005, heart/lung, -, num, deceased
AR, 2005, kidney, 15.5, pmp, deceased
AR, 2005, liver, 5.40, pmp, deceased
AR, 2005, pancreas, 0, pmp, deceased
AR, 2005, heart, 2.20, pmp, deceased
AR, 2005, lung, 0.2, pmp, deceased
AR, 2005, heart/lung, -, pmp, deceased
AR, 2005, kidney, 216, num, living
AR, 2005, liver, 40, num, living
AR, 2005, pancreas, -, num, living
AR, 2005, heart, -, num, living
AR, 2005, lung, -, num, living
AR, 2005, heart/lung, -, num, living
AR, 2005, kidney, 5.60, pmp, living
AR, 2005, liver, 1, pmp, living
AR, 2005, pancreas, -, pmp, living
AR, 2005, heart, -, pmp, living
AR, 2005, lung, -, pmp, living
AR, 2005, heart/lung, -, pmp, living
AR, 2006, kidney, 647, num, deceased
AR, 2006, liver, 226, num, deceased
AR, 2006, pancreas, 1, num, deceased
AR, 2006, heart, 74, num, deceased
AR, 2006, lung, 7, num, deceased
AR, 2006, heart/lung, -, num, deceased
AR, 2006, kidney, 16.60, pmp, deceased
AR, 2006, liver, 5.80, pmp, deceased
AR, 2006, pancreas, 0, pmp, deceased
AR, 2006, heart, 1.9, pmp, deceased
AR, 2006, lung, 0.2, pmp, deceased
AR, 2006, heart/lung, -, pmp, deceased
AR, 2006, kidney, 190, num, living
AR, 2006, liver, 42, num, living
AR, 2006, pancreas, -, num, living
AR, 2006, heart, -, num, living
AR, 2006, lung, -, num, living
AR, 2006, heart/lung, -, num, living
AR, 2006, kidney, 4.90, pmp, living
AR, 2006, liver, 1.10, pmp, living
AR, 2006, pancreas, -, pmp, living
AR, 2006, heart, -, pmp, living
AR, 2006, lung, -, pmp, living
AR, 2006, heart/lung, -, pmp, living
AR, 2007, kidney, 692, num, deceased
AR, 2007, liver, 225, num, deceased
AR, 2007, pancreas, 2, num, deceased
AR, 2007, heart, 88, num, deceased
AR, 2007, lung, 15, num, deceased
AR, 2007, heart/lung, -, num, deceased
AR, 2007, kidney, 17.20, pmp, deceased
AR, 2007, liver, 5.60, pmp, deceased
AR, 2007, pancreas, 0, pmp, deceased
AR, 2007, heart, 2.20, pmp, deceased
AR, 2007, lung, 0.4, pmp, deceased
AR, 2007, heart/lung, -, pmp, deceased
AR, 2007, kidney, 100, num, living
AR, 2007, liver, 17, num, living
AR, 2007, pancreas, -, num, living
AR, 2007, heart, -, num, living
AR, 2007, lung, -, num, living
AR, 2007, heart/lung, -, num, living
AR, 2007, kidney, 2.5, pmp, living
AR, 2007, liver, 0.4, pmp, living
AR, 2007, pancreas, -, pmp, living
AR, 2007, heart, -, pmp, living
AR, 2007, lung, -, pmp, living
AR, 2007, heart/lung, -, pmp, living
AR, 2008, kidney, 746, num, deceased
AR, 2008, liver, 280, num, deceased
AR, 2008, pancreas, 8, num, deceased
AR, 2008, heart, 100, num, deceased
AR, 2008, lung, 0, num, deceased
AR, 2008, heart/lung, -, num, deceased
AR, 2008, kidney, 18.70, pmp, deceased
AR, 2008, liver, 7.20, pmp, deceased
AR, 2008, pancreas, 0.2, pmp, deceased
AR, 2008, heart, 2.5, pmp, deceased
AR, 2008, lung, 0, pmp, deceased
AR, 2008, heart/lung, -, pmp, deceased
AR, 2008, kidney, 216, num, living
AR, 2008, liver, 33, num, living
AR, 2008, pancreas, -, num, living
AR, 2008, heart, -, num, living
AR, 2008, lung, -, num, living
AR, 2008, heart/lung, -, num, living
AR, 2008, kidney, 5.40, pmp, living
AR, 2008, liver, 0.8, pmp, living
AR, 2008, pancreas, -, pmp, living
AR, 2008, heart, -, pmp, living
AR, 2008, lung, -, pmp, living
AR, 2008, heart/lung, -, pmp, living
AR, 2009, kidney, 835, num, deceased
AR, 2009, liver, 241, num, deceased
AR, 2009, pancreas, 70, num, deceased
AR, 2009, heart, 93, num, deceased
AR, 2009, lung, 28, num, deceased
AR, 2009, heart/lung, -, num, deceased
AR, 2009, kidney, 20.80, pmp, deceased
AR, 2009, liver, 6, pmp, deceased
AR, 2009, pancreas, 1.7, pmp, deceased
AR, 2009, heart, 2.5, pmp, deceased
AR, 2009, lung, 0.7, pmp, deceased
AR, 2009, heart/lung, -, pmp, deceased
AR, 2009, kidney, 191, num, living
AR, 2009, liver, 30, num, living
AR, 2009, pancreas, -, num, living
AR, 2009, heart, -, num, living
AR, 2009, lung, -, num, living
AR, 2009, heart/lung, -, num, living
AR, 2009, kidney, 4.80, pmp, living
AR, 2009, liver, 0.7, pmp, living
AR, 2009, pancreas, -, pmp, living
AR, 2009, heart, -, pmp, living
AR, 2009, lung, -, pmp, living
AR, 2009, heart/lung, -, pmp, living
AR, 2010, kidney, 846, num, deceased
AR, 2010, liver, 253, num, deceased
AR, 2010, pancreas, 62, num, deceased
AR, 2010, heart, 73, num, deceased
AR, 2010, lung, 30, num, deceased
AR, 2010, heart/lung, -, num, deceased
AR, 2010, kidney, 21.10, pmp, deceased
AR, 2010, liver, 6.31, pmp, deceased
AR, 2010, pancreas, 1.54, pmp, deceased
AR, 2010, heart, 1.82, pmp, deceased
AR, 2010, lung, 0.99, pmp, deceased
AR, 2010, heart/lung, -, pmp, deceased
AR, 2010, kidney, 236, num, living
AR, 2010, liver, 37, num, living
AR, 2010, pancreas, -, num, living
AR, 2010, heart, -, num, living
AR, 2010, lung, -, num, living
AR, 2010, heart/lung, -, num, living
AR, 2010, kidney, 5.88, pmp, living
AR, 2010, liver, 0.92, pmp, living
AR, 2010, pancreas, -, pmp, living
AR, 2010, heart, -, pmp, living
AR, 2010, lung, -, pmp, living
AR, 2010, heart/lung, -, pmp, living
AR, 2011, kidney, 848, num, deceased
AR, 2011, liver, 332, num, deceased
AR, 2011, pancreas, 10, num, deceased
AR, 2011, heart, 106, num, deceased
AR, 2011, lung, 26, num, deceased
AR, 2011, heart/lung, -, num, deceased
AR, 2011, kidney, 20.90, pmp, deceased
AR, 2011, liver, 8.18, pmp, deceased
AR, 2011, pancreas, 0.24, pmp, deceased
AR, 2011, heart, 2.61, pmp, deceased
AR, 2011, lung, 0.64, pmp, deceased
AR, 2011, heart/lung, -, pmp, deceased
AR, 2011, kidney, 249, num, living
AR, 2011, liver, 32, num, living
AR, 2011, pancreas, -, num, living
AR, 2011, heart, -, num, living
AR, 2011, lung, -, num, living
AR, 2011, heart/lung, -, num, living
AR, 2011, kidney, 6.14, pmp, living
AR, 2011, liver, 0.78, pmp, living
AR, 2011, pancreas, -, pmp, living
AR, 2011, heart, -, pmp, living
AR, 2011, lung, -, pmp, living
AR, 2011, heart/lung, -, pmp, living
AR, 2012, kidney, 969, num, deceased
AR, 2012, liver, 347, num, deceased
AR, 2012, pancreas, 68, num, deceased
AR, 2012, heart, 111, num, deceased
AR, 2012, lung, 30, num, deceased
AR, 2012, heart/lung, -, num, deceased
AR, 2012, kidney, 24.15, pmp, deceased
AR, 2012, liver, 8.65, pmp, deceased
AR, 2012, pancreas, 1.7, pmp, deceased
AR, 2012, heart, 2.77, pmp, deceased
AR, 2012, lung, 0.75, pmp, deceased
AR, 2012, heart/lung, -, pmp, deceased
AR, 2012, kidney, 283, num, living
AR, 2012, liver, 26, num, living
AR, 2012, pancreas, -, num, living
AR, 2012, heart, -, num, living
AR, 2012, lung, -, num, living
AR, 2012, heart/lung, -, num, living
AR, 2012, kidney, 7.05, pmp, living
AR, 2012, liver, 0.65, pmp, living
AR, 2012, pancreas, -, pmp, living
AR, 2012, heart, -, pmp, living
AR, 2012, lung, -, pmp, living
AR, 2012, heart/lung, -, pmp, living
AR, 2013, kidney, 874, num, deceased
AR, 2013, liver, 323, num, deceased
AR, 2013, pancreas, 77, num, deceased
AR, 2013, heart, 100, num, deceased
AR, 2013, lung, 32, num, deceased
AR, 2013, heart/lung, -, num, deceased
AR, 2013, kidney, 20.70, pmp, deceased
AR, 2013, liver, 7.65, pmp, deceased
AR, 2013, pancreas, 1.82, pmp, deceased
AR, 2013, heart, 2.36, pmp, deceased
AR, 2013, lung, 0.75, pmp, deceased
AR, 2013, heart/lung, -, pmp, deceased
AR, 2013, kidney, 400, num, living
AR, 2013, liver, 29, num, living
AR, 2013, pancreas, -, num, living
AR, 2013, heart, -, num, living
AR, 2013, lung, -, num, living
AR, 2013, heart/lung, -, num, living
AR, 2013, kidney, 9.47, pmp, living
AR, 2013, liver, 0.68, pmp, living
AR, 2013, pancreas, -, pmp, living
AR, 2013, heart, -, pmp, living
AR, 2013, lung, -, pmp, living
AR, 2013, heart/lung, -, pmp, living
AR, 2014, kidney, 892, num, deceased
AR, 2014, liver, 325, num, deceased
AR, 2014, pancreas, 69, num, deceased
AR, 2014, heart, 99, num, deceased
AR, 2014, lung, 42, num, deceased
AR, 2014, heart/lung, -, num, deceased
AR, 2014, kidney, 22.18, pmp, deceased
AR, 2014, liver, 7.60, pmp, deceased
AR, 2014, pancreas, 1.61, pmp, deceased
AR, 2014, heart, 2.30, pmp, deceased
AR, 2014, lung, 0.98, pmp, deceased
AR, 2014, heart/lung, -, pmp, deceased
AR, 2014, kidney, 378, num, living
AR, 2014, liver, 34, num, living
AR, 2014, pancreas, -, num, living
AR, 2014, heart, -, num, living
AR, 2014, lung, -, num, living
AR, 2014, heart/lung, -, num, living
AR, 2014, kidney, 8.87, pmp, living
AR, 2014, liver, 0.79, pmp, living
AR, 2014, pancreas, -, pmp, living
AR, 2014, heart, -, pmp, living
AR, 2014, lung, -, pmp, living
AR, 2014, heart/lung, -, pmp, living
AR, 2015, kidney, 811, num, deceased
AR, 2015, liver, 347, num, deceased
AR, 2015, pancreas, 74, num, deceased
AR, 2015, heart, 107, num, deceased
AR, 2015, lung, 46, num, deceased
AR, 2015, heart/lung, -, num, deceased
AR, 2015, kidney, 18.80, pmp, deceased
AR, 2015, liver, 8.05, pmp, deceased
AR, 2015, pancreas, 1.72, pmp, deceased
AR, 2015, heart, 2.48, pmp, deceased
AR, 2015, lung, 1.07, pmp, deceased
AR, 2015, heart/lung, -, pmp, deceased
AR, 2015, kidney, 387, num, living
AR, 2015, liver, 36, num, living
AR, 2015, pancreas, -, num, living
AR, 2015, heart, -, num, living
AR, 2015, lung, -, num, living
AR, 2015, heart/lung, -, num, living
AR, 2015, kidney, 8.97, pmp, living
AR, 2015, liver, 0.83, pmp, living
AR, 2015, pancreas, -, pmp, living
AR, 2015, heart, -, pmp, living
AR, 2015, lung, -, pmp, living
AR, 2015, heart/lung, -, pmp, living
AR, 2016, kidney, 744, num, deceased
AR, 2016, liver, 312, num, deceased
AR, 2016, pancreas, 48, num, deceased
AR, 2016, heart, 109, num, deceased
AR, 2016, lung, 33, num, deceased
AR, 2016, heart/lung, -, num, deceased
AR, 2016, kidney, 17.06, pmp, deceased
AR, 2016, liver, 7.16, pmp, deceased
AR, 2016, pancreas, 1.10, pmp, deceased
AR, 2016, heart, 2.5, pmp, deceased
AR, 2016, lung, 0.76, pmp, deceased
AR, 2016, heart/lung, -, pmp, deceased
AR, 2016, kidney, 384, num, living
AR, 2016, liver, 37, num, living
AR, 2016, pancreas, -, num, living
AR, 2016, heart, -, num, living
AR, 2016, lung, -, num, living
AR, 2016, heart/lung, -, num, living
AR, 2016, kidney, 8.92, pmp, living
AR, 2016, liver, 0.84, pmp, living
AR, 2016, pancreas, -, pmp, living
AR, 2016, heart, -, pmp, living
AR, 2016, lung, -, pmp, living
AR, 2016, heart/lung, -, pmp, living
AR, 2017, kidney, 848, num, deceased
AR, 2017, liver, 384, num, deceased
AR, 2017, pancreas, 5, num, deceased
AR, 2017, heart, 113, num, deceased
AR, 2017, lung, 42, num, deceased
AR, 2017, heart/lung, -, num, deceased
AR, 2017, kidney, 19.25, pmp, deceased
AR, 2017, liver, 8.72, pmp, deceased
AR, 2017, pancreas, 0.11, pmp, deceased
AR, 2017, heart, 2.57, pmp, deceased
AR, 2017, lung, 0.95, pmp, deceased
AR, 2017, heart/lung, -, pmp, deceased
AR, 2017, kidney, 390, num, living
AR, 2017, liver, 40, num, living
AR, 2017, pancreas, -, num, living
AR, 2017, heart, -, num, living
AR, 2017, lung, -, num, living
AR, 2017, heart/lung, -, num, living
AR, 2017, kidney, 8.77, pmp, living
AR, 2017, liver, 0.9, pmp, living
AR, 2017, pancreas, -, pmp, living
AR, 2017, heart, -, pmp, living
AR, 2017, lung, -, pmp, living
AR, 2017, heart/lung, -, pmp, living
AR, 2018, kidney, 1099, num, deceased
AR, 2018, liver, 432, num, deceased
AR, 2018, pancreas, 89, num, deceased
AR, 2018, heart, 132, num, deceased
AR, 2018, lung, 44, num, deceased
AR, 2018, heart/lung, -, num, deceased
AR, 2018, kidney, 24.69, pmp, deceased
AR, 2018, liver, 9.71, pmp, deceased
AR, 2018, pancreas, 2, pmp, deceased
AR, 2018, heart, 2.97, pmp, deceased
AR, 2018, lung, 0.99, pmp, deceased
AR, 2018, heart/lung, -, pmp, deceased
AR, 2018, kidney, 372, num, living
AR, 2018, liver, 40, num, living
AR, 2018, pancreas, -, num, living
AR, 2018, heart, -, num, living
AR, 2018, lung, -, num, living
AR, 2018, heart/lung, -, num, living
AR, 2018, kidney, 8.36, pmp, living
AR, 2018, liver, 0.9, pmp, living
AR, 2018, pancreas, -, pmp, living
AR, 2018, heart, -, pmp, living
AR, 2018, lung, -, pmp, living
AR, 2018, heart/lung, -, pmp, living
AM, 2017, kidney, 0, num, deceased
AM, 2017, liver, 0, num, deceased
AM, 2017, pancreas, 0, num, deceased
AM, 2017, heart, 0, num, deceased
AM, 2017, lung, 0, num, deceased
AM, 2017, heart/lung, -, num, deceased
AM, 2017, kidney, 0, pmp, deceased
AM, 2017, liver, 0, pmp, deceased
AM, 2017, pancreas, 0, pmp, deceased
AM, 2017, heart, 0, pmp, deceased
AM, 2017, lung, 0, pmp, deceased
AM, 2017, heart/lung, -, pmp, deceased
AM, 2017, kidney, 11, num, living
AM, 2017, liver, 0, num, living
AM, 2017, pancreas, -, num, living
AM, 2017, heart, -, num, living
AM, 2017, lung, -, num, living
AM, 2017, heart/lung, -, num, living
AM, 2017, kidney, 3.79, pmp, living
AM, 2017, liver, 0, pmp, living
AM, 2017, pancreas, -, pmp, living
AM, 2017, heart, -, pmp, living
AM, 2017, lung, -, pmp, living
AM, 2017, heart/lung, -, pmp, living
AM, 2017, kidney, 0, num, deceased
AM, 2017, liver, 0, num, deceased
AM, 2017, pancreas, 0, num, deceased
AM, 2017, heart, 0, num, deceased
AM, 2017, lung, 0, num, deceased
AM, 2017, heart/lung, -, num, deceased
AM, 2017, kidney, 0, pmp, deceased
AM, 2017, liver, 0, pmp, deceased
AM, 2017, pancreas, 0, pmp, deceased
AM, 2017, heart, 0, pmp, deceased
AM, 2017, lung, 0, pmp, deceased
AM, 2017, heart/lung, -, pmp, deceased
AM, 2017, kidney, 11, num, living
AM, 2017, liver, 0, num, living
AM, 2017, pancreas, -, num, living
AM, 2017, heart, -, num, living
AM, 2017, lung, -, num, living
AM, 2017, heart/lung, -, num, living
AM, 2017, kidney, 3.79, pmp, living
AM, 2017, liver, 0, pmp, living
AM, 2017, pancreas, -, pmp, living
AM, 2017, heart, -, pmp, living
AM, 2017, lung, -, pmp, living
AM, 2017, heart/lung, -, pmp, living
AM, 2017, kidney, 0, num, deceased
AM, 2017, liver, 0, num, deceased
AM, 2017, pancreas, 0, num, deceased
AM, 2017, heart, 0, num, deceased
AM, 2017, lung, 0, num, deceased
AM, 2017, heart/lung, -, num, deceased
AM, 2017, kidney, 0, pmp, deceased
AM, 2017, liver, 0, pmp, deceased
AM, 2017, pancreas, 0, pmp, deceased
AM, 2017, heart, 0, pmp, deceased
AM, 2017, lung, 0, pmp, deceased
AM, 2017, heart/lung, -, pmp, deceased
AM, 2017, kidney, 11, num, living
AM, 2017, liver, 0, num, living
AM, 2017, pancreas, -, num, living
AM, 2017, heart, -, num, living
AM, 2017, lung, -, num, living
AM, 2017, heart/lung, -, num, living
AM, 2017, kidney, 3.79, pmp, living
AM, 2017, liver, 0, pmp, living
AM, 2017, pancreas, -, pmp, living
AM, 2017, heart, -, pmp, living
AM, 2017, lung, -, pmp, living
AM, 2017, heart/lung, -, pmp, living
AM, 2017, kidney, 0, num, deceased
AM, 2017, liver, 0, num, deceased
AM, 2017, pancreas, 0, num, deceased
