EC, 2017, kidney, 141, num, deceased
EC, 2017, lung, 0, pmp, deceased
EC, 2017, heart/lung, -, pmp, deceased
EC, 2017, kidney, 9, num, living
EC, 2017, liver, 1, num, living
EC, 2017, pancreas, -, num, living
EC, 2017, heart, -, num, living
EC, 2017, lung, -, num, living
EC, 2017, heart/lung, -, num, living
EC, 2017, kidney, 0.55, pmp, living
EC, 2017, liver, 0.06, pmp, living
EC, 2017, pancreas, -, pmp, living
EC, 2017, heart, -, pmp, living
EC, 2017, lung, -, pmp, living
EC, 2017, heart/lung, -, pmp, living
EC, 2017, kidney, 141, num, deceased
EC, 2017, liver, 36, num, deceased
EC, 2017, pancreas, 0, num, deceased
EC, 2017, heart, 0, num, deceased
EC, 2017, lung, 0, num, deceased
EC, 2017, heart/lung, -, num, deceased
EC, 2017, kidney, 8.73, pmp, deceased
EC, 2017, liver, 2.22, pmp, deceased
EC, 2017, pancreas, 0, pmp, deceased
EC, 2017, heart, 0, pmp, deceased
EC, 2017, lung, 0, pmp, deceased
EC, 2017, heart/lung, -, pmp, deceased
EC, 2017, kidney, 9, num, living
EC, 2017, liver, 1, num, living
EC, 2017, pancreas, -, num, living
EC, 2017, heart, -, num, living
EC, 2017, lung, -, num, living
EC, 2017, heart/lung, -, num, living
EC, 2017, kidney, 0.55, pmp, living
EC, 2017, liver, 0.06, pmp, living
EC, 2017, pancreas, -, pmp, living
EC, 2017, heart, -, pmp, living
EC, 2017, lung, -, pmp, living
EC, 2017, heart/lung, -, pmp, living
EC, 2017, kidney, 141, num, deceased
EC, 2017, liver, 36, num, deceased
EC, 2017, pancreas, 0, num, deceased
EC, 2017, heart, 0, num, deceased
EC, 2017, lung, 0, num, deceased
EC, 2017, heart/lung, -, num, deceased
EC, 2017, kidney, 8.73, pmp, deceased
EC, 2017, liver, 2.22, pmp, deceased
EC, 2017, pancreas, 0, pmp, deceased
EC, 2017, heart, 0, pmp, deceased
EC, 2017, lung, 0, pmp, deceased
EC, 2017, heart/lung, -, pmp, deceased
EC, 2017, kidney, 9, num, living
EC, 2017, liver, 1, num, living
EC, 2017, pancreas, -, num, living
EC, 2017, heart, -, num, living
EC, 2017, lung, -, num, living
EC, 2017, heart/lung, -, num, living
EC, 2017, kidney, 0.55, pmp, living
EC, 2017, liver, 0.06, pmp, living
EC, 2017, pancreas, -, pmp, living
EC, 2017, heart, -, pmp, living
EC, 2017, lung, -, pmp, living
EC, 2017, heart/lung, -, pmp, living
EC, 2017, kidney, 141, num, deceased
EC, 2017, liver, 36, num, deceased
EC, 2017, pancreas, 0, num, deceased
EC, 2017, heart, 0, num, deceased
EC, 2017, lung, 0, num, deceased
EC, 2017, heart/lung, -, num, deceased
EC, 2017, kidney, 8.73, pmp, deceased
EC, 2017, liver, 2.22, pmp, deceased
EC, 2017, pancreas, 0, pmp, deceased
EC, 2017, heart, 0, pmp, deceased
EC, 2017, lung, 0, pmp, deceased
EC, 2017, heart/lung, -, pmp, deceased
EC, 2017, kidney, 9, num, living
EC, 2017, liver, 1, num, living
EC, 2017, pancreas, -, num, living
EC, 2017, heart, -, num, living
EC, 2017, lung, -, num, living
EC, 2017, heart/lung, -, num, living
EC, 2017, kidney, 0.55, pmp, living
EC, 2017, liver, 0.06, pmp, living
EC, 2017, pancreas, -, pmp, living
EC, 2017, heart, -, pmp, living
EC, 2017, lung, -, pmp, living
EC, 2017, heart/lung, -, pmp, living
EC, 2017, kidney, 141, num, deceased
EC, 2017, liver, 36, num, deceased
EC, 2017, pancreas, 0, num, deceased
EC, 2017, heart, 0, num, deceased
EC, 2017, lung, 0, num, deceased
EC, 2017, heart/lung, -, num, deceased
EC, 2017, kidney, 8.73, pmp, deceased
EC, 2017, liver, 2.22, pmp, deceased
EC, 2017, pancreas, 0, pmp, deceased
EC, 2017, heart, 0, pmp, deceased
EC, 2017, lung, 0, pmp, deceased
EC, 2017, heart/lung, -, pmp, deceased
EC, 2017, kidney, 9, num, living
EC, 2017, liver, 1, num, living
EC, 2017, pancreas, -, num, living
EC, 2017, heart, -, num, living
EC, 2017, lung, -, num, living
EC, 2017, heart/lung, -, num, living
EC, 2017, kidney, 0.55, pmp, living
EC, 2017, liver, 0.06, pmp, living
EC, 2017, pancreas, -, pmp, living
EC, 2017, heart, -, pmp, living
EC, 2017, lung, -, pmp, living
EC, 2017, heart/lung, -, pmp, living
EC, 2017, kidney, 141, num, deceased
EC, 2017, liver, 36, num, deceased
EC, 2017, pancreas, 0, num, deceased
EC, 2017, heart, 0, num, deceased
EC, 2017, lung, 0, num, deceased
EC, 2017, heart/lung, -, num, deceased
EC, 2017, kidney, 8.73, pmp, deceased
EC, 2017, liver, 2.22, pmp, deceased
EC, 2017, pancreas, 0, pmp, deceased
EC, 2017, heart, 0, pmp, deceased
EC, 2017, lung, 0, pmp, deceased
EC, 2017, heart/lung, -, pmp, deceased
EC, 2017, kidney, 9, num, living
EC, 2017, liver, 1, num, living
EC, 2017, pancreas, -, num, living
EC, 2017, heart, -, num, living
EC, 2017, lung, -, num, living
EC, 2017, heart/lung, -, num, living
EC, 2017, kidney, 0.55, pmp, living
EC, 2017, liver, 0.06, pmp, living
EC, 2017, pancreas, -, pmp, living
EC, 2017, heart, -, pmp, living
EC, 2017, lung, -, pmp, living
EC, 2017, heart/lung, -, pmp, living
EC, 2004, kidney, 0, num, deceased
EC, 2004, liver, 0, num, deceased
EC, 2004, pancreas, 0, num, deceased
EC, 2004, heart, 0, num, deceased
EC, 2004, lung, 0, num, deceased
EC, 2004, heart/lung, -, num, deceased
EC, 2004, kidney, 0, pmp, deceased
EC, 2004, liver, 0, pmp, deceased
EC, 2004, pancreas, 0, pmp, deceased
EC, 2004, heart, 0, pmp, deceased
EC, 2004, lung, 0, pmp, deceased
EC, 2004, heart/lung, -, pmp, deceased
EC, 2004, kidney, 0, num, living
EC, 2004, liver, 0, num, living
EC, 2004, pancreas, -, num, living
EC, 2004, heart, -, num, living
EC, 2004, lung, -, num, living
EC, 2004, heart/lung, -, num, living
EC, 2004, kidney, 0, pmp, living
EC, 2004, liver, 0, pmp, living
EC, 2004, pancreas, -, pmp, living
EC, 2004, heart, -, pmp, living
EC, 2004, lung, -, pmp, living
EC, 2004, heart/lung, -, pmp, living
EC, 2005, kidney, 13, num, deceased
EC, 2005, liver, 0, num, deceased
EC, 2005, pancreas, 0, num, deceased
EC, 2005, heart, 0, num, deceased
EC, 2005, lung, 0, num, deceased
EC, 2005, heart/lung, -, num, deceased
EC, 2005, kidney, 1, pmp, deceased
EC, 2005, liver, 0, pmp, deceased
EC, 2005, pancreas, 0, pmp, deceased
EC, 2005, heart, 0, pmp, deceased
EC, 2005, lung, 0, pmp, deceased
EC, 2005, heart/lung, -, pmp, deceased
EC, 2005, kidney, 64, num, living
EC, 2005, liver, 0, num, living
EC, 2005, pancreas, -, num, living
EC, 2005, heart, -, num, living
EC, 2005, lung, -, num, living
EC, 2005, heart/lung, -, num, living
EC, 2005, kidney, 4.90, pmp, living
EC, 2005, liver, 0, pmp, living
EC, 2005, pancreas, -, pmp, living
EC, 2005, heart, -, pmp, living
EC, 2005, lung, -, pmp, living
EC, 2005, heart/lung, -, pmp, living
EC, 2006, kidney, 28, num, deceased
EC, 2006, liver, 0, num, deceased
EC, 2006, pancreas, 0, num, deceased
EC, 2006, heart, 2, num, deceased
EC, 2006, lung, 0, num, deceased
EC, 2006, heart/lung, -, num, deceased
EC, 2006, kidney, 2.20, pmp, deceased
EC, 2006, liver, 0, pmp, deceased
EC, 2006, pancreas, 0, pmp, deceased
EC, 2006, heart, 0.2, pmp, deceased
EC, 2006, lung, 0, pmp, deceased
EC, 2006, heart/lung, -, pmp, deceased
EC, 2006, kidney, 42, num, living
EC, 2006, liver, 0, num, living
EC, 2006, pancreas, -, num, living
EC, 2006, heart, -, num, living
EC, 2006, lung, -, num, living
EC, 2006, heart/lung, -, num, living
EC, 2006, kidney, 3.40, pmp, living
EC, 2006, liver, 0, pmp, living
EC, 2006, pancreas, -, pmp, living
EC, 2006, heart, -, pmp, living
EC, 2006, lung, -, pmp, living
EC, 2006, heart/lung, -, pmp, living
EC, 2017, kidney, 141, num, deceased
EC, 2017, liver, 36, num, deceased
EC, 2017, pancreas, 0, num, deceased
EC, 2017, heart, 0, num, deceased
EC, 2017, lung, 0, num, deceased
EC, 2017, heart/lung, -, num, deceased
EC, 2017, kidney, 8.73, pmp, deceased
EC, 2017, liver, 2.22, pmp, deceased
EC, 2017, pancreas, 0, pmp, deceased
EC, 2017, heart, 0, pmp, deceased
EC, 2017, lung, 0, pmp, deceased
EC, 2017, heart/lung, -, pmp, deceased
EC, 2017, kidney, 9, num, living
EC, 2017, liver, 1, num, living
EC, 2017, pancreas, -, num, living
EC, 2017, heart, -, num, living
EC, 2017, lung, -, num, living
EC, 2017, heart/lung, -, num, living
EC, 2017, kidney, 0.55, pmp, living
EC, 2017, liver, 0.06, pmp, living
EC, 2017, pancreas, -, pmp, living
EC, 2017, heart, -, pmp, living
EC, 2017, lung, -, pmp, living
EC, 2017, heart/lung, -, pmp, living
EC, 2017, kidney, 141, num, deceased
EC, 2017, liver, 36, num, deceased
EC, 2017, pancreas, 0, num, deceased
EC, 2017, heart, 0, num, deceased
EC, 2017, lung, 0, num, deceased
EC, 2017, heart/lung, -, num, deceased
EC, 2017, kidney, 8.73, pmp, deceased
EC, 2017, liver, 2.22, pmp, deceased
EC, 2017, pancreas, 0, pmp, deceased
EC, 2017, heart, 0, pmp, deceased
EC, 2017, lung, 0, pmp, deceased
EC, 2017, heart/lung, -, pmp, deceased
EC, 2017, kidney, 9, num, living
EC, 2017, liver, 1, num, living
EC, 2017, pancreas, -, num, living
EC, 2017, heart, -, num, living
EC, 2017, lung, -, num, living
EC, 2017, heart/lung, -, num, living
EC, 2017, kidney, 0.55, pmp, living
EC, 2017, liver, 0.06, pmp, living
EC, 2017, pancreas, -, pmp, living
EC, 2017, heart, -, pmp, living
EC, 2017, lung, -, pmp, living
EC, 2017, heart/lung, -, pmp, living
EC, 2009, kidney, 0, num, deceased
EC, 2009, liver, 0, num, deceased
EC, 2009, pancreas, 0, num, deceased
EC, 2009, heart, 0, num, deceased
EC, 2009, lung, 0, num, deceased
EC, 2009, heart/lung, -, num, deceased
EC, 2009, kidney, 0, pmp, deceased
EC, 2009, liver, 0, pmp, deceased
EC, 2009, pancreas, 0, pmp, deceased
EC, 2009, heart, 0, pmp, deceased
EC, 2009, lung, 0, pmp, deceased
EC, 2009, heart/lung, -, pmp, deceased
EC, 2009, kidney, 0, num, living
EC, 2009, liver, 0, num, living
EC, 2009, pancreas, -, num, living
EC, 2009, heart, -, num, living
EC, 2009, lung, -, num, living
EC, 2009, heart/lung, -, num, living
EC, 2009, kidney, 0, pmp, living
EC, 2009, liver, 0, pmp, living
EC, 2009, pancreas, -, pmp, living
EC, 2009, heart, -, pmp, living
EC, 2009, lung, -, pmp, living
EC, 2009, heart/lung, -, pmp, living
EC, 2010, kidney, 33, num, deceased
EC, 2010, liver, 1, num, deceased
EC, 2010, pancreas, 0, num, deceased
EC, 2010, heart, 1, num, deceased
EC, 2010, lung, 0, num, deceased
EC, 2010, heart/lung, -, num, deceased
EC, 2010, kidney, 3.40, pmp, deceased
EC, 2010, liver, 0.1, pmp, deceased
EC, 2010, pancreas, 0, pmp, deceased
EC, 2010, heart, 0.1, pmp, deceased
EC, 2010, lung, 0, pmp, deceased
EC, 2010, heart/lung, -, pmp, deceased
EC, 2010, kidney, 25, num, living
EC, 2010, liver, 0, num, living
EC, 2010, pancreas, -, num, living
EC, 2010, heart, -, num, living
EC, 2010, lung, -, num, living
EC, 2010, heart/lung, -, num, living
EC, 2010, kidney, 1.8, pmp, living
EC, 2010, liver, 0, pmp, living
EC, 2010, pancreas, -, pmp, living
EC, 2010, heart, -, pmp, living
EC, 2010, lung, -, pmp, living
EC, 2010, heart/lung, -, pmp, living
EC, 2011, kidney, 52, num, deceased
EC, 2011, liver, 14, num, deceased
EC, 2011, pancreas, 0, num, deceased
EC, 2011, heart, 2, num, deceased
EC, 2011, lung, 0, num, deceased
EC, 2011, heart/lung, -, num, deceased
EC, 2011, kidney, 3.55, pmp, deceased
EC, 2011, liver, 0.95, pmp, deceased
EC, 2011, pancreas, 0, pmp, deceased
EC, 2011, heart, 0.14, pmp, deceased
EC, 2011, lung, 0, pmp, deceased
EC, 2011, heart/lung, -, pmp, deceased
EC, 2011, kidney, 30, num, living
EC, 2011, liver, 0, num, living
EC, 2011, pancreas, -, num, living
EC, 2011, heart, -, num, living
EC, 2011, lung, -, num, living
EC, 2011, heart/lung, -, num, living
EC, 2011, kidney, 2.05, pmp, living
EC, 2011, liver, 0, pmp, living
EC, 2011, pancreas, -, pmp, living
EC, 2011, heart, -, pmp, living
EC, 2011, lung, -, pmp, living
EC, 2011, heart/lung, -, pmp, living
EC, 2012, kidney, 89, num, deceased
EC, 2012, liver, 13, num, deceased
EC, 2012, pancreas, 1, num, deceased
EC, 2012, heart, 0, num, deceased
EC, 2012, lung, 0, num, deceased
EC, 2012, heart/lung, -, num, deceased
EC, 2012, kidney, 6.14, pmp, deceased
EC, 2012, liver, 0.89, pmp, deceased
EC, 2012, pancreas, 0.06, pmp, deceased
EC, 2012, heart, 0, pmp, deceased
EC, 2012, lung, 0, pmp, deceased
EC, 2012, heart/lung, -, pmp, deceased
EC, 2012, kidney, 25, num, living
EC, 2012, liver, 0, num, living
EC, 2012, pancreas, -, num, living
EC, 2012, heart, -, num, living
EC, 2012, lung, -, num, living
EC, 2012, heart/lung, -, num, living
EC, 2012, kidney, 1.72, pmp, living
EC, 2012, liver, 0, pmp, living
EC, 2012, pancreas, -, pmp, living
EC, 2012, heart, -, pmp, living
EC, 2012, lung, -, pmp, living
EC, 2012, heart/lung, -, pmp, living
EC, 2013, kidney, 105, num, deceased
EC, 2013, liver, 26, num, deceased
EC, 2013, pancreas, 1, num, deceased
EC, 2013, heart, 0, num, deceased
EC, 2013, lung, 0, num, deceased
EC, 2013, heart/lung, -, num, deceased
EC, 2013, kidney, 7.25, pmp, deceased
EC, 2013, liver, 1.79, pmp, deceased
EC, 2013, pancreas, 0.07, pmp, deceased
EC, 2013, heart, 0, pmp, deceased
EC, 2013, lung, 0, pmp, deceased
EC, 2013, heart/lung, -, pmp, deceased
EC, 2013, kidney, 22, num, living
EC, 2013, liver, 2, num, living
EC, 2013, pancreas, -, num, living
EC, 2013, heart, -, num, living
EC, 2013, lung, -, num, living
EC, 2013, heart/lung, -, num, living
EC, 2013, kidney, 1.51, pmp, living
EC, 2013, liver, 0.13, pmp, living
EC, 2013, pancreas, -, pmp, living
EC, 2013, heart, -, pmp, living
EC, 2013, lung, -, pmp, living
EC, 2013, heart/lung, -, pmp, living
EC, 2017, kidney, 141, num, deceased
EC, 2017, liver, 36, num, deceased
EC, 2017, pancreas, 0, num, deceased
EC, 2017, heart, 0, num, deceased
EC, 2017, lung, 0, num, deceased
EC, 2017, heart/lung, -, num, deceased
EC, 2017, kidney, 8.73, pmp, deceased
EC, 2017, liver, 2.22, pmp, deceased
EC, 2017, pancreas, 0, pmp, deceased
EC, 2017, heart, 0, pmp, deceased
EC, 2017, lung, 0, pmp, deceased
EC, 2017, heart/lung, -, pmp, deceased
EC, 2017, kidney, 9, num, living
EC, 2017, liver, 1, num, living
EC, 2017, pancreas, -, num, living
EC, 2017, heart, -, num, living
EC, 2017, lung, -, num, living
EC, 2017, heart/lung, -, num, living
EC, 2017, kidney, 0.55, pmp, living
EC, 2017, liver, 0.06, pmp, living
EC, 2017, pancreas, -, pmp, living
EC, 2017, heart, -, pmp, living
EC, 2017, lung, -, pmp, living
EC, 2017, heart/lung, -, pmp, living
EC, 2015, kidney, 118, num, deceased
EC, 2015, liver, 14, num, deceased
EC, 2015, pancreas, 0, num, deceased
EC, 2015, heart, 0, num, deceased
EC, 2015, lung, 0, num, deceased
EC, 2015, heart/lung, -, num, deceased
EC, 2015, kidney, 7.30, pmp, deceased
EC, 2015, liver, 0.9, pmp, deceased
EC, 2015, pancreas, 0, pmp, deceased
EC, 2015, heart, 0, pmp, deceased
EC, 2015, lung, 0, pmp, deceased
EC, 2015, heart/lung, -, pmp, deceased
EC, 2015, kidney, 6, num, living
EC, 2015, liver, 0, num, living
EC, 2015, pancreas, -, num, living
EC, 2015, heart, -, num, living
EC, 2015, lung, -, num, living
EC, 2015, heart/lung, -, num, living
EC, 2015, kidney, 0.4, pmp, living
EC, 2015, liver, 0, pmp, living
EC, 2015, pancreas, -, pmp, living
EC, 2015, heart, -, pmp, living
EC, 2015, lung, -, pmp, living
EC, 2015, heart/lung, -, pmp, living
EC, 2016, kidney, 133, num, deceased
EC, 2016, liver, 31, num, deceased
EC, 2016, pancreas, 0, num, deceased
EC, 2016, heart, 0, num, deceased
EC, 2016, lung, 0, num, deceased
EC, 2016, heart/lung, -, num, deceased
EC, 2016, kidney, 8.48, pmp, deceased
EC, 2016, liver, 1.89, pmp, deceased
EC, 2016, pancreas, 0, pmp, deceased
EC, 2016, heart, 0, pmp, deceased
EC, 2016, lung, 0, pmp, deceased
EC, 2016, heart/lung, -, pmp, deceased
EC, 2016, kidney, 0, num, living
EC, 2016, liver, 0, num, living
EC, 2016, pancreas, -, num, living
EC, 2016, heart, -, num, living
EC, 2016, lung, -, num, living
EC, 2016, heart/lung, -, num, living
EC, 2016, kidney, 0, pmp, living
EC, 2016, liver, 0, pmp, living
EC, 2016, pancreas, -, pmp, living
EC, 2016, heart, -, pmp, living
EC, 2016, lung, -, pmp, living
EC, 2016, heart/lung, -, pmp, living
EC, 2017, kidney, 141, num, deceased
EC, 2017, liver, 36, num, deceased
EC, 2017, pancreas, 0, num, deceased
EC, 2017, heart, 0, num, deceased
EC, 2017, lung, 0, num, deceased
EC, 2017, heart/lung, -, num, deceased
EC, 2017, kidney, 8.73, pmp, deceased
EC, 2017, liver, 2.22, pmp, deceased
EC, 2017, pancreas, 0, pmp, deceased
EC, 2017, heart, 0, pmp, deceased
EC, 2017, lung, 0, pmp, deceased
EC, 2017, heart/lung, -, pmp, deceased
EC, 2017, kidney, 9, num, living
EC, 2017, liver, 1, num, living
EC, 2017, pancreas, -, num, living
EC, 2017, heart, -, num, living
EC, 2017, lung, -, num, living
EC, 2017, heart/lung, -, num, living
EC, 2017, kidney, 0.55, pmp, living
EC, 2017, liver, 0.06, pmp, living
EC, 2017, pancreas, -, pmp, living
EC, 2017, heart, -, pmp, living
EC, 2017, lung, -, pmp, living
EC, 2017, heart/lung, -, pmp, living
EC, 2017, kidney, 141, num, deceased
EC, 2017, liver, 36, num, deceased
EC, 2017, pancreas, 0, num, deceased
EC, 2017, heart, 0, num, deceased
EC, 2017, lung, 0, num, deceased
EC, 2017, heart/lung, -, num, deceased
EC, 2017, kidney, 8.73, pmp, deceased
EC, 2017, liver, 2.22, pmp, deceased
EC, 2017, pancreas, 0, pmp, deceased
EC, 2017, heart, 0, pmp, deceased
EC, 2017, lung, 0, pmp, deceased
EC, 2017, heart/lung, -, pmp, deceased
EC, 2017, kidney, 9, num, living
EC, 2017, liver, 1, num, living
EC, 2017, pancreas, -, num, living
EC, 2017, heart, -, num, living
EC, 2017, lung, -, num, living
EC, 2017, heart/lung, -, num, living
EC, 2017, kidney, 0.55, pmp, living
EC, 2017, liver, 0.06, pmp, living
EC, 2017, pancreas, -, pmp, living
EC, 2017, heart, -, pmp, living
EC, 2017, lung, -, pmp, living
EC, 2017, heart/lung, -, pmp, living
EG, 2003, kidney, 0, num, deceased
EG, 2003, liver, 0, num, deceased
EG, 2003, pancreas, 0, num, deceased
EG, 2003, heart, 0, num, deceased
EG, 2003, lung, 0, num, deceased
EG, 2003, heart/lung, -, num, deceased
EG, 2003, kidney, 0, pmp, deceased
EG, 2003, liver, 0, pmp, deceased
EG, 2003, pancreas, 0, pmp, deceased
EG, 2003, heart, 0, pmp, deceased
EG, 2003, lung, 0, pmp, deceased
EG, 2003, heart/lung, -, pmp, deceased
EG, 2003, kidney, 450, num, living
EG, 2003, liver, 0, num, living
EG, 2003, pancreas, -, num, living
EG, 2003, heart, -, num, living
EG, 2003, lung, -, num, living
EG, 2003, heart/lung, -, num, living
EG, 2003, kidney, 6.90, pmp, living
EG, 2003, liver, 0, pmp, living
EG, 2003, pancreas, -, pmp, living
EG, 2003, heart, -, pmp, living
EG, 2003, lung, -, pmp, living
EG, 2003, heart/lung, -, pmp, living
EG, 2003, kidney, 0, num, deceased
EG, 2003, liver, 0, num, deceased
EG, 2003, pancreas, 0, num, deceased
EG, 2003, heart, 0, num, deceased
EG, 2003, lung, 0, num, deceased
EG, 2003, heart/lung, -, num, deceased
EG, 2003, kidney, 0, pmp, deceased
EG, 2003, liver, 0, pmp, deceased
EG, 2003, pancreas, 0, pmp, deceased
EG, 2003, heart, 0, pmp, deceased
EG, 2003, lung, 0, pmp, deceased
EG, 2003, heart/lung, -, pmp, deceased
EG, 2003, kidney, 450, num, living
EG, 2003, liver, 0, num, living
EG, 2003, pancreas, -, num, living
EG, 2003, heart, -, num, living
EG, 2003, lung, -, num, living
EG, 2003, heart/lung, -, num, living
EG, 2003, kidney, 6.90, pmp, living
EG, 2003, liver, 0, pmp, living
EG, 2003, pancreas, -, pmp, living
EG, 2003, heart, -, pmp, living
EG, 2003, lung, -, pmp, living
EG, 2003, heart/lung, -, pmp, living
EG, 2003, kidney, 0, num, deceased
EG, 2003, liver, 0, num, deceased
EG, 2003, pancreas, 0, num, deceased
EG, 2003, heart, 0, num, deceased
EG, 2003, lung, 0, num, deceased
EG, 2003, heart/lung, -, num, deceased
EG, 2003, kidney, 0, pmp, deceased
EG, 2003, liver, 0, pmp, deceased
EG, 2003, pancreas, 0, pmp, deceased
EG, 2003, heart, 0, pmp, deceased
EG, 2003, lung, 0, pmp, deceased
EG, 2003, heart/lung, -, pmp, deceased
EG, 2003, kidney, 450, num, living
EG, 2003, liver, 0, num, living
EG, 2003, pancreas, -, num, living
EG, 2003, heart, -, num, living
EG, 2003, lung, -, num, living
EG, 2003, heart/lung, -, num, living
EG, 2003, kidney, 6.90, pmp, living
EG, 2003, liver, 0, pmp, living
EG, 2003, pancreas, -, pmp, living
EG, 2003, heart, -, pmp, living
EG, 2003, lung, -, pmp, living
EG, 2003, heart/lung, -, pmp, living
EG, 2003, kidney, 0, num, deceased
EG, 2003, liver, 0, num, deceased
EG, 2003, pancreas, 0, num, deceased
EG, 2003, heart, 0, num, deceased
EG, 2003, lung, 0, num, deceased
EG, 2003, heart/lung, -, num, deceased
EG, 2003, kidney, 0, pmp, deceased
EG, 2003, liver, 0, pmp, deceased
