BD, 1993, kidney, 0, num, deceased
BD, 2002, lung, 0, pmp, deceased
BD, 2002, heart/lung, -, pmp, deceased
BD, 2002, kidney, 21, num, living
BD, 2002, liver, 0, num, living
BD, 2002, pancreas, -, num, living
BD, 2002, heart, -, num, living
BD, 2002, lung, -, num, living
BD, 2002, heart/lung, -, num, living
BD, 2002, kidney, 0.2, pmp, living
BD, 2002, liver, 0, pmp, living
BD, 2002, pancreas, -, pmp, living
BD, 2002, heart, -, pmp, living
BD, 2002, lung, -, pmp, living
BD, 2002, heart/lung, -, pmp, living
BD, 2003, kidney, 0, num, deceased
BD, 2003, liver, 0, num, deceased
BD, 2003, pancreas, 0, num, deceased
BD, 2003, heart, 0, num, deceased
BD, 2003, lung, 0, num, deceased
BD, 2003, heart/lung, -, num, deceased
BD, 2003, kidney, 0, pmp, deceased
BD, 2003, liver, 0, pmp, deceased
BD, 2003, pancreas, 0, pmp, deceased
BD, 2003, heart, 0, pmp, deceased
BD, 2003, lung, 0, pmp, deceased
BD, 2003, heart/lung, -, pmp, deceased
BD, 2003, kidney, 33, num, living
BD, 2003, liver, 0, num, living
BD, 2003, pancreas, -, num, living
BD, 2003, heart, -, num, living
BD, 2003, lung, -, num, living
BD, 2003, heart/lung, -, num, living
BD, 2003, kidney, 0.2, pmp, living
BD, 2003, liver, 0, pmp, living
BD, 2003, pancreas, -, pmp, living
BD, 2003, heart, -, pmp, living
BD, 2003, lung, -, pmp, living
BD, 2003, heart/lung, -, pmp, living
BD, 2004, kidney, 0, num, deceased
BD, 2004, liver, 0, num, deceased
BD, 2004, pancreas, 0, num, deceased
BD, 2004, heart, 0, num, deceased
BD, 2004, lung, 0, num, deceased
BD, 2004, heart/lung, -, num, deceased
BD, 2004, kidney, 0, pmp, deceased
BD, 2004, liver, 0, pmp, deceased
BD, 2004, pancreas, 0, pmp, deceased
BD, 2004, heart, 0, pmp, deceased
BD, 2004, lung, 0, pmp, deceased
BD, 2004, heart/lung, -, pmp, deceased
BD, 2004, kidney, 19, num, living
BD, 2004, liver, 0, num, living
BD, 2004, pancreas, -, num, living
BD, 2004, heart, -, num, living
BD, 2004, lung, -, num, living
BD, 2004, heart/lung, -, num, living
BD, 2004, kidney, 0.1, pmp, living
BD, 2004, liver, 0, pmp, living
BD, 2004, pancreas, -, pmp, living
BD, 2004, heart, -, pmp, living
BD, 2004, lung, -, pmp, living
BD, 2004, heart/lung, -, pmp, living
BD, 2005, kidney, 0, num, deceased
BD, 2005, liver, 0, num, deceased
BD, 2005, pancreas, 0, num, deceased
BD, 2005, heart, 0, num, deceased
BD, 2005, lung, 0, num, deceased
BD, 2005, heart/lung, -, num, deceased
BD, 2005, kidney, 0, pmp, deceased
BD, 2005, liver, 0, pmp, deceased
BD, 2005, pancreas, 0, pmp, deceased
BD, 2005, heart, 0, pmp, deceased
BD, 2005, lung, 0, pmp, deceased
BD, 2005, heart/lung, -, pmp, deceased
BD, 2005, kidney, 35, num, living
BD, 2005, liver, 0, num, living
BD, 2005, pancreas, -, num, living
BD, 2005, heart, -, num, living
BD, 2005, lung, -, num, living
BD, 2005, heart/lung, -, num, living
BD, 2005, kidney, 0.3, pmp, living
BD, 2005, liver, 0, pmp, living
BD, 2005, pancreas, -, pmp, living
BD, 2005, heart, -, pmp, living
BD, 2005, lung, -, pmp, living
BD, 2005, heart/lung, -, pmp, living
BD, 2006, kidney, 0, num, deceased
BD, 2006, liver, 0, num, deceased
BD, 2006, pancreas, 0, num, deceased
BD, 2006, heart, 0, num, deceased
BD, 2006, lung, 0, num, deceased
BD, 2006, heart/lung, -, num, deceased
BD, 2006, kidney, 0, pmp, deceased
BD, 2006, liver, 0, pmp, deceased
BD, 2006, pancreas, 0, pmp, deceased
BD, 2006, heart, 0, pmp, deceased
BD, 2006, lung, 0, pmp, deceased
BD, 2006, heart/lung, -, pmp, deceased
BD, 2006, kidney, 40, num, living
BD, 2006, liver, 0, num, living
BD, 2006, pancreas, -, num, living
BD, 2006, heart, -, num, living
BD, 2006, lung, -, num, living
BD, 2006, heart/lung, -, num, living
BD, 2006, kidney, 0.3, pmp, living
BD, 2006, liver, 0, pmp, living
BD, 2006, pancreas, -, pmp, living
BD, 2006, heart, -, pmp, living
BD, 2006, lung, -, pmp, living
BD, 2006, heart/lung, -, pmp, living
BD, 2007, kidney, 0, num, deceased
BD, 2007, liver, 0, num, deceased
BD, 2007, pancreas, 0, num, deceased
BD, 2007, heart, 0, num, deceased
BD, 2007, lung, 0, num, deceased
BD, 2007, heart/lung, -, num, deceased
BD, 2007, kidney, 0, pmp, deceased
BD, 2007, liver, 0, pmp, deceased
BD, 2007, pancreas, 0, pmp, deceased
BD, 2007, heart, 0, pmp, deceased
BD, 2007, lung, 0, pmp, deceased
BD, 2007, heart/lung, -, pmp, deceased
BD, 2007, kidney, 80, num, living
BD, 2007, liver, 0, num, living
BD, 2007, pancreas, -, num, living
BD, 2007, heart, -, num, living
BD, 2007, lung, -, num, living
BD, 2007, heart/lung, -, num, living
BD, 2007, kidney, 0.6, pmp, living
BD, 2007, liver, 0, pmp, living
BD, 2007, pancreas, -, pmp, living
BD, 2007, heart, -, pmp, living
BD, 2007, lung, -, pmp, living
BD, 2007, heart/lung, -, pmp, living
BD, 2008, kidney, 0, num, deceased
BD, 2008, liver, 0, num, deceased
BD, 2008, pancreas, 0, num, deceased
BD, 2008, heart, 0, num, deceased
BD, 2008, lung, 0, num, deceased
BD, 2008, heart/lung, -, num, deceased
BD, 2008, kidney, 0, pmp, deceased
BD, 2008, liver, 0, pmp, deceased
BD, 2008, pancreas, 0, pmp, deceased
BD, 2008, heart, 0, pmp, deceased
BD, 2008, lung, 0, pmp, deceased
BD, 2008, heart/lung, -, pmp, deceased
BD, 2008, kidney, 82, num, living
BD, 2008, liver, 0, num, living
BD, 2008, pancreas, -, num, living
BD, 2008, heart, -, num, living
BD, 2008, lung, -, num, living
BD, 2008, heart/lung, -, num, living
BD, 2008, kidney, 0.6, pmp, living
BD, 2008, liver, 0, pmp, living
BD, 2008, pancreas, -, pmp, living
BD, 2008, heart, -, pmp, living
BD, 2008, lung, -, pmp, living
BD, 2008, heart/lung, -, pmp, living
BD, 2009, kidney, 0, num, deceased
BD, 2009, liver, 0, num, deceased
BD, 2009, pancreas, 0, num, deceased
BD, 2009, heart, 0, num, deceased
BD, 2009, lung, 0, num, deceased
BD, 2009, heart/lung, -, num, deceased
BD, 2009, kidney, 0, pmp, deceased
BD, 2009, liver, 0, pmp, deceased
BD, 2009, pancreas, 0, pmp, deceased
BD, 2009, heart, 0, pmp, deceased
BD, 2009, lung, 0, pmp, deceased
BD, 2009, heart/lung, -, pmp, deceased
BD, 2009, kidney, 130, num, living
BD, 2009, liver, 0, num, living
BD, 2009, pancreas, -, num, living
BD, 2009, heart, -, num, living
BD, 2009, lung, -, num, living
BD, 2009, heart/lung, -, num, living
BD, 2009, kidney, 0.9, pmp, living
BD, 2009, liver, 0, pmp, living
BD, 2009, pancreas, -, pmp, living
BD, 2009, heart, -, pmp, living
BD, 2009, lung, -, pmp, living
BD, 2009, heart/lung, -, pmp, living
BD, 2009, kidney, 0, num, deceased
BD, 2009, liver, 0, num, deceased
BD, 2009, pancreas, 0, num, deceased
BD, 2009, heart, 0, num, deceased
BD, 2009, lung, 0, num, deceased
BD, 2009, heart/lung, -, num, deceased
BD, 2009, kidney, 0, pmp, deceased
BD, 2009, liver, 0, pmp, deceased
BD, 2009, pancreas, 0, pmp, deceased
BD, 2009, heart, 0, pmp, deceased
BD, 2009, lung, 0, pmp, deceased
BD, 2009, heart/lung, -, pmp, deceased
BD, 2009, kidney, 130, num, living
BD, 2009, liver, 0, num, living
BD, 2009, pancreas, -, num, living
BD, 2009, heart, -, num, living
BD, 2009, lung, -, num, living
BD, 2009, heart/lung, -, num, living
BD, 2009, kidney, 0.9, pmp, living
BD, 2009, liver, 0, pmp, living
BD, 2009, pancreas, -, pmp, living
BD, 2009, heart, -, pmp, living
BD, 2009, lung, -, pmp, living
BD, 2009, heart/lung, -, pmp, living
BD, 2009, kidney, 0, num, deceased
BD, 2009, liver, 0, num, deceased
BD, 2009, pancreas, 0, num, deceased
BD, 2009, heart, 0, num, deceased
BD, 2009, lung, 0, num, deceased
BD, 2009, heart/lung, -, num, deceased
BD, 2009, kidney, 0, pmp, deceased
BD, 2009, liver, 0, pmp, deceased
BD, 2009, pancreas, 0, pmp, deceased
BD, 2009, heart, 0, pmp, deceased
BD, 2009, lung, 0, pmp, deceased
BD, 2009, heart/lung, -, pmp, deceased
BD, 2009, kidney, 130, num, living
BD, 2009, liver, 0, num, living
BD, 2009, pancreas, -, num, living
BD, 2009, heart, -, num, living
BD, 2009, lung, -, num, living
BD, 2009, heart/lung, -, num, living
BD, 2009, kidney, 0.9, pmp, living
BD, 2009, liver, 0, pmp, living
BD, 2009, pancreas, -, pmp, living
BD, 2009, heart, -, pmp, living
BD, 2009, lung, -, pmp, living
BD, 2009, heart/lung, -, pmp, living
BD, 2009, kidney, 0, num, deceased
BD, 2009, liver, 0, num, deceased
BD, 2009, pancreas, 0, num, deceased
BD, 2009, heart, 0, num, deceased
BD, 2009, lung, 0, num, deceased
BD, 2009, heart/lung, -, num, deceased
BD, 2009, kidney, 0, pmp, deceased
BD, 2009, liver, 0, pmp, deceased
BD, 2009, pancreas, 0, pmp, deceased
BD, 2009, heart, 0, pmp, deceased
BD, 2009, lung, 0, pmp, deceased
BD, 2009, heart/lung, -, pmp, deceased
BD, 2009, kidney, 130, num, living
BD, 2009, liver, 0, num, living
BD, 2009, pancreas, -, num, living
BD, 2009, heart, -, num, living
BD, 2009, lung, -, num, living
BD, 2009, heart/lung, -, num, living
BD, 2009, kidney, 0.9, pmp, living
BD, 2009, liver, 0, pmp, living
BD, 2009, pancreas, -, pmp, living
BD, 2009, heart, -, pmp, living
BD, 2009, lung, -, pmp, living
BD, 2009, heart/lung, -, pmp, living
BD, 2009, kidney, 0, num, deceased
BD, 2009, liver, 0, num, deceased
BD, 2009, pancreas, 0, num, deceased
BD, 2009, heart, 0, num, deceased
BD, 2009, lung, 0, num, deceased
BD, 2009, heart/lung, -, num, deceased
BD, 2009, kidney, 0, pmp, deceased
BD, 2009, liver, 0, pmp, deceased
BD, 2009, pancreas, 0, pmp, deceased
BD, 2009, heart, 0, pmp, deceased
BD, 2009, lung, 0, pmp, deceased
BD, 2009, heart/lung, -, pmp, deceased
BD, 2009, kidney, 130, num, living
BD, 2009, liver, 0, num, living
BD, 2009, pancreas, -, num, living
BD, 2009, heart, -, num, living
BD, 2009, lung, -, num, living
BD, 2009, heart/lung, -, num, living
BD, 2009, kidney, 0.9, pmp, living
BD, 2009, liver, 0, pmp, living
BD, 2009, pancreas, -, pmp, living
BD, 2009, heart, -, pmp, living
BD, 2009, lung, -, pmp, living
BD, 2009, heart/lung, -, pmp, living
BD, 2009, kidney, 0, num, deceased
BD, 2009, liver, 0, num, deceased
BD, 2009, pancreas, 0, num, deceased
BD, 2009, heart, 0, num, deceased
BD, 2009, lung, 0, num, deceased
BD, 2009, heart/lung, -, num, deceased
BD, 2009, kidney, 0, pmp, deceased
BD, 2009, liver, 0, pmp, deceased
BD, 2009, pancreas, 0, pmp, deceased
BD, 2009, heart, 0, pmp, deceased
BD, 2009, lung, 0, pmp, deceased
BD, 2009, heart/lung, -, pmp, deceased
BD, 2009, kidney, 130, num, living
BD, 2009, liver, 0, num, living
BD, 2009, pancreas, -, num, living
BD, 2009, heart, -, num, living
BD, 2009, lung, -, num, living
BD, 2009, heart/lung, -, num, living
BD, 2009, kidney, 0.9, pmp, living
BD, 2009, liver, 0, pmp, living
BD, 2009, pancreas, -, pmp, living
BD, 2009, heart, -, pmp, living
BD, 2009, lung, -, pmp, living
BD, 2009, heart/lung, -, pmp, living
BD, 2009, kidney, 0, num, deceased
BD, 2009, liver, 0, num, deceased
BD, 2009, pancreas, 0, num, deceased
BD, 2009, heart, 0, num, deceased
BD, 2009, lung, 0, num, deceased
BD, 2009, heart/lung, -, num, deceased
BD, 2009, kidney, 0, pmp, deceased
BD, 2009, liver, 0, pmp, deceased
BD, 2009, pancreas, 0, pmp, deceased
BD, 2009, heart, 0, pmp, deceased
BD, 2009, lung, 0, pmp, deceased
BD, 2009, heart/lung, -, pmp, deceased
BD, 2009, kidney, 130, num, living
BD, 2009, liver, 0, num, living
BD, 2009, pancreas, -, num, living
BD, 2009, heart, -, num, living
BD, 2009, lung, -, num, living
BD, 2009, heart/lung, -, num, living
BD, 2009, kidney, 0.9, pmp, living
BD, 2009, liver, 0, pmp, living
BD, 2009, pancreas, -, pmp, living
BD, 2009, heart, -, pmp, living
BD, 2009, lung, -, pmp, living
BD, 2009, heart/lung, -, pmp, living
BD, 2009, kidney, 0, num, deceased
BD, 2009, liver, 0, num, deceased
BD, 2009, pancreas, 0, num, deceased
BD, 2009, heart, 0, num, deceased
BD, 2009, lung, 0, num, deceased
BD, 2009, heart/lung, -, num, deceased
BD, 2009, kidney, 0, pmp, deceased
BD, 2009, liver, 0, pmp, deceased
BD, 2009, pancreas, 0, pmp, deceased
BD, 2009, heart, 0, pmp, deceased
BD, 2009, lung, 0, pmp, deceased
BD, 2009, heart/lung, -, pmp, deceased
BD, 2009, kidney, 130, num, living
BD, 2009, liver, 0, num, living
BD, 2009, pancreas, -, num, living
BD, 2009, heart, -, num, living
BD, 2009, lung, -, num, living
BD, 2009, heart/lung, -, num, living
BD, 2009, kidney, 0.9, pmp, living
BD, 2009, liver, 0, pmp, living
BD, 2009, pancreas, -, pmp, living
BD, 2009, heart, -, pmp, living
BD, 2009, lung, -, pmp, living
BD, 2009, heart/lung, -, pmp, living
BD, 2009, kidney, 0, num, deceased
BD, 2009, liver, 0, num, deceased
BD, 2009, pancreas, 0, num, deceased
BD, 2009, heart, 0, num, deceased
BD, 2009, lung, 0, num, deceased
BD, 2009, heart/lung, -, num, deceased
BD, 2009, kidney, 0, pmp, deceased
BD, 2009, liver, 0, pmp, deceased
BD, 2009, pancreas, 0, pmp, deceased
BD, 2009, heart, 0, pmp, deceased
BD, 2009, lung, 0, pmp, deceased
BD, 2009, heart/lung, -, pmp, deceased
BD, 2009, kidney, 130, num, living
BD, 2009, liver, 0, num, living
BD, 2009, pancreas, -, num, living
BD, 2009, heart, -, num, living
BD, 2009, lung, -, num, living
BD, 2009, heart/lung, -, num, living
BD, 2009, kidney, 0.9, pmp, living
BD, 2009, liver, 0, pmp, living
BD, 2009, pancreas, -, pmp, living
BD, 2009, heart, -, pmp, living
BD, 2009, lung, -, pmp, living
BD, 2009, heart/lung, -, pmp, living
BD, 2009, kidney, 0, num, deceased
BD, 2009, liver, 0, num, deceased
BD, 2009, pancreas, 0, num, deceased
BD, 2009, heart, 0, num, deceased
BD, 2009, lung, 0, num, deceased
BD, 2009, heart/lung, -, num, deceased
BD, 2009, kidney, 0, pmp, deceased
BD, 2009, liver, 0, pmp, deceased
BD, 2009, pancreas, 0, pmp, deceased
BD, 2009, heart, 0, pmp, deceased
BD, 2009, lung, 0, pmp, deceased
BD, 2009, heart/lung, -, pmp, deceased
BD, 2009, kidney, 130, num, living
BD, 2009, liver, 0, num, living
BD, 2009, pancreas, -, num, living
BD, 2009, heart, -, num, living
BD, 2009, lung, -, num, living
BD, 2009, heart/lung, -, num, living
BD, 2009, kidney, 0.9, pmp, living
BD, 2009, liver, 0, pmp, living
BD, 2009, pancreas, -, pmp, living
BD, 2009, heart, -, pmp, living
BD, 2009, lung, -, pmp, living
BD, 2009, heart/lung, -, pmp, living
BY, 2018, kidney, 349, num, deceased
BY, 2018, liver, 74, num, deceased
BY, 2018, pancreas, 1, num, deceased
BY, 2018, heart, 41, num, deceased
BY, 2018, lung, 4, num, deceased
BY, 2018, heart/lung, -, num, deceased
BY, 2018, kidney, 36.70, pmp, deceased
BY, 2018, liver, 7.79, pmp, deceased
BY, 2018, pancreas, 0.1, pmp, deceased
BY, 2018, heart, 4.32, pmp, deceased
BY, 2018, lung, 0.42, pmp, deceased
BY, 2018, heart/lung, -, pmp, deceased
BY, 2018, kidney, 6, num, living
BY, 2018, liver, 6, num, living
BY, 2018, pancreas, -, num, living
BY, 2018, heart, -, num, living
BY, 2018, lung, -, num, living
BY, 2018, heart/lung, -, num, living
BY, 2018, kidney, 0.63, pmp, living
BY, 2018, liver, 0.63, pmp, living
BY, 2018, pancreas, -, pmp, living
BY, 2018, heart, -, pmp, living
BY, 2018, lung, -, pmp, living
BY, 2018, heart/lung, -, pmp, living
BY, 2018, kidney, 349, num, deceased
BY, 2018, liver, 74, num, deceased
BY, 2018, pancreas, 1, num, deceased
BY, 2018, heart, 41, num, deceased
BY, 2018, lung, 4, num, deceased
BY, 2018, heart/lung, -, num, deceased
BY, 2018, kidney, 36.70, pmp, deceased
BY, 2018, liver, 7.79, pmp, deceased
BY, 2018, pancreas, 0.1, pmp, deceased
BY, 2018, heart, 4.32, pmp, deceased
BY, 2018, lung, 0.42, pmp, deceased
BY, 2018, heart/lung, -, pmp, deceased
BY, 2018, kidney, 6, num, living
BY, 2018, liver, 6, num, living
BY, 2018, pancreas, -, num, living
BY, 2018, heart, -, num, living
BY, 2018, lung, -, num, living
BY, 2018, heart/lung, -, num, living
BY, 2018, kidney, 0.63, pmp, living
BY, 2018, liver, 0.63, pmp, living
BY, 2018, pancreas, -, pmp, living
BY, 2018, heart, -, pmp, living
BY, 2018, lung, -, pmp, living
BY, 2018, heart/lung, -, pmp, living
BY, 2018, kidney, 349, num, deceased
BY, 2018, liver, 74, num, deceased
BY, 2018, pancreas, 1, num, deceased
BY, 2018, heart, 41, num, deceased
BY, 2018, lung, 4, num, deceased
BY, 2018, heart/lung, -, num, deceased
BY, 2018, kidney, 36.70, pmp, deceased
BY, 2018, liver, 7.79, pmp, deceased
BY, 2018, pancreas, 0.1, pmp, deceased
BY, 2018, heart, 4.32, pmp, deceased
BY, 2018, lung, 0.42, pmp, deceased
BY, 2018, heart/lung, -, pmp, deceased
BY, 2018, kidney, 6, num, living
BY, 2018, liver, 6, num, living
BY, 2018, pancreas, -, num, living
BY, 2018, heart, -, num, living
BY, 2018, lung, -, num, living
BY, 2018, heart/lung, -, num, living
BY, 2018, kidney, 0.63, pmp, living
BY, 2018, liver, 0.63, pmp, living
BY, 2018, pancreas, -, pmp, living
BY, 2018, heart, -, pmp, living
BY, 2018, lung, -, pmp, living
BY, 2018, heart/lung, -, pmp, living
BY, 2018, kidney, 349, num, deceased
BY, 2018, liver, 74, num, deceased
BY, 2018, pancreas, 1, num, deceased
BY, 2018, heart, 41, num, deceased
BY, 2018, lung, 4, num, deceased
BY, 2018, heart/lung, -, num, deceased
BY, 2018, kidney, 36.70, pmp, deceased
BY, 2018, liver, 7.79, pmp, deceased
BY, 2018, pancreas, 0.1, pmp, deceased
BY, 2018, heart, 4.32, pmp, deceased
BY, 2018, lung, 0.42, pmp, deceased
