CA, 1993, kidney, 0, num, deceased
CA, 1995, pancreas, -, pmp, living
CA, 1995, heart, -, pmp, living
CA, 1995, lung, -, pmp, living
CA, 1995, heart/lung, -, pmp, living
CA, 1996, kidney, 0, num, deceased
CA, 1996, liver, 0, num, deceased
CA, 1996, pancreas, 0, num, deceased
CA, 1996, heart, 0, num, deceased
CA, 1996, lung, 0, num, deceased
CA, 1996, heart/lung, -, num, deceased
CA, 1996, kidney, 0, pmp, deceased
CA, 1996, liver, 0, pmp, deceased
CA, 1996, pancreas, 0, pmp, deceased
CA, 1996, heart, 0, pmp, deceased
CA, 1996, lung, 0, pmp, deceased
CA, 1996, heart/lung, -, pmp, deceased
CA, 1996, kidney, 265, num, living
CA, 1996, liver, 1, num, living
CA, 1996, pancreas, -, num, living
CA, 1996, heart, -, num, living
CA, 1996, lung, -, num, living
CA, 1996, heart/lung, -, num, living
CA, 1996, kidney, 8.90, pmp, living
CA, 1996, liver, 0, pmp, living
CA, 1996, pancreas, -, pmp, living
CA, 1996, heart, -, pmp, living
CA, 1996, lung, -, pmp, living
CA, 1996, heart/lung, -, pmp, living
CA, 1997, kidney, 0, num, deceased
CA, 1997, liver, 0, num, deceased
CA, 1997, pancreas, 0, num, deceased
CA, 1997, heart, 0, num, deceased
CA, 1997, lung, 0, num, deceased
CA, 1997, heart/lung, -, num, deceased
CA, 1997, kidney, 0, pmp, deceased
CA, 1997, liver, 0, pmp, deceased
CA, 1997, pancreas, 0, pmp, deceased
CA, 1997, heart, 0, pmp, deceased
CA, 1997, lung, 0, pmp, deceased
CA, 1997, heart/lung, -, pmp, deceased
CA, 1997, kidney, 288, num, living
CA, 1997, liver, 0, num, living
CA, 1997, pancreas, -, num, living
CA, 1997, heart, -, num, living
CA, 1997, lung, -, num, living
CA, 1997, heart/lung, -, num, living
CA, 1997, kidney, 9.5, pmp, living
CA, 1997, liver, 0, pmp, living
CA, 1997, pancreas, -, pmp, living
CA, 1997, heart, -, pmp, living
CA, 1997, lung, -, pmp, living
CA, 1997, heart/lung, -, pmp, living
CA, 1998, kidney, 0, num, deceased
CA, 1998, liver, 0, num, deceased
CA, 1998, pancreas, 0, num, deceased
CA, 1998, heart, 0, num, deceased
CA, 1998, lung, 0, num, deceased
CA, 1998, heart/lung, -, num, deceased
CA, 1998, kidney, 0, pmp, deceased
CA, 1998, liver, 0, pmp, deceased
CA, 1998, pancreas, 0, pmp, deceased
CA, 1998, heart, 0, pmp, deceased
CA, 1998, lung, 0, pmp, deceased
CA, 1998, heart/lung, -, pmp, deceased
CA, 1998, kidney, 336, num, living
CA, 1998, liver, 3, num, living
CA, 1998, pancreas, -, num, living
CA, 1998, heart, -, num, living
CA, 1998, lung, -, num, living
CA, 1998, heart/lung, -, num, living
CA, 1998, kidney, 11, pmp, living
CA, 1998, liver, 0.1, pmp, living
CA, 1998, pancreas, -, pmp, living
CA, 1998, heart, -, pmp, living
CA, 1998, lung, -, pmp, living
CA, 1998, heart/lung, -, pmp, living
CA, 1999, kidney, 0, num, deceased
CA, 1999, liver, 0, num, deceased
CA, 1999, pancreas, 0, num, deceased
CA, 1999, heart, 0, num, deceased
CA, 1999, lung, 0, num, deceased
CA, 1999, heart/lung, -, num, deceased
CA, 1999, kidney, 0, pmp, deceased
CA, 1999, liver, 0, pmp, deceased
CA, 1999, pancreas, 0, pmp, deceased
CA, 1999, heart, 0, pmp, deceased
CA, 1999, lung, 0, pmp, deceased
CA, 1999, heart/lung, -, pmp, deceased
CA, 1999, kidney, 379, num, living
CA, 1999, liver, 9, num, living
CA, 1999, pancreas, -, num, living
CA, 1999, heart, -, num, living
CA, 1999, lung, -, num, living
CA, 1999, heart/lung, -, num, living
CA, 1999, kidney, 12.5, pmp, living
CA, 1999, liver, 0.3, pmp, living
CA, 1999, pancreas, -, pmp, living
CA, 1999, heart, -, pmp, living
CA, 1999, lung, -, pmp, living
CA, 1999, heart/lung, -, pmp, living
CA, 2000, kidney, 716, num, deceased
CA, 2000, liver, 403, num, deceased
CA, 2000, pancreas, 0, num, deceased
CA, 2000, heart, 171, num, deceased
CA, 2000, lung, 0, num, deceased
CA, 2000, heart/lung, -, num, deceased
CA, 2000, kidney, 23.30, pmp, deceased
CA, 2000, liver, 13.10, pmp, deceased
CA, 2000, pancreas, 0, pmp, deceased
CA, 2000, heart, 5.5, pmp, deceased
CA, 2000, lung, 0, pmp, deceased
CA, 2000, heart/lung, -, pmp, deceased
CA, 2000, kidney, 389, num, living
CA, 2000, liver, 19, num, living
CA, 2000, pancreas, -, num, living
CA, 2000, heart, -, num, living
CA, 2000, lung, -, num, living
CA, 2000, heart/lung, -, num, living
CA, 2000, kidney, 12.60, pmp, living
CA, 2000, liver, 0.6, pmp, living
CA, 2000, pancreas, -, pmp, living
CA, 2000, heart, -, pmp, living
CA, 2000, lung, -, pmp, living
CA, 2000, heart/lung, -, pmp, living
CA, 2001, kidney, 661, num, deceased
CA, 2001, liver, 383, num, deceased
CA, 2001, pancreas, 14, num, deceased
CA, 2001, heart, 162, num, deceased
CA, 2001, lung, 0, num, deceased
CA, 2001, heart/lung, -, num, deceased
CA, 2001, kidney, 21.20, pmp, deceased
CA, 2001, liver, 12.30, pmp, deceased
CA, 2001, pancreas, 0.4, pmp, deceased
CA, 2001, heart, 5.20, pmp, deceased
CA, 2001, lung, 0, pmp, deceased
CA, 2001, heart/lung, -, pmp, deceased
CA, 2001, kidney, 397, num, living
CA, 2001, liver, 43, num, living
CA, 2001, pancreas, -, num, living
CA, 2001, heart, -, num, living
CA, 2001, lung, -, num, living
CA, 2001, heart/lung, -, num, living
CA, 2001, kidney, 12.70, pmp, living
CA, 2001, liver, 1.30, pmp, living
CA, 2001, pancreas, -, pmp, living
CA, 2001, heart, -, pmp, living
CA, 2001, lung, -, pmp, living
CA, 2001, heart/lung, -, pmp, living
CA, 2002, kidney, 627, num, deceased
CA, 2002, liver, 334, num, deceased
CA, 2002, pancreas, 33, num, deceased
CA, 2002, heart, 161, num, deceased
CA, 2002, lung, 0, num, deceased
CA, 2002, heart/lung, -, num, deceased
CA, 2002, kidney, 19.80, pmp, deceased
CA, 2002, liver, 10.5, pmp, deceased
CA, 2002, pancreas, 1, pmp, deceased
CA, 2002, heart, 5, pmp, deceased
CA, 2002, lung, 0, pmp, deceased
CA, 2002, heart/lung, -, pmp, deceased
CA, 2002, kidney, 391, num, living
CA, 2002, liver, 42, num, living
CA, 2002, pancreas, -, num, living
CA, 2002, heart, -, num, living
CA, 2002, lung, -, num, living
CA, 2002, heart/lung, -, num, living
CA, 2002, kidney, 12.30, pmp, living
CA, 2002, liver, 1.30, pmp, living
CA, 2002, pancreas, -, pmp, living
CA, 2002, heart, -, pmp, living
CA, 2002, lung, -, pmp, living
CA, 2002, heart/lung, -, pmp, living
CA, 2003, kidney, 650, num, deceased
CA, 2003, liver, 363, num, deceased
CA, 2003, pancreas, 27, num, deceased
CA, 2003, heart, 156, num, deceased
CA, 2003, lung, 0, num, deceased
CA, 2003, heart/lung, -, num, deceased
CA, 2003, kidney, 20.5, pmp, deceased
CA, 2003, liver, 11.40, pmp, deceased
CA, 2003, pancreas, 0.8, pmp, deceased
CA, 2003, heart, 4.90, pmp, deceased
CA, 2003, lung, 0, pmp, deceased
CA, 2003, heart/lung, -, pmp, deceased
CA, 2003, kidney, 403, num, living
CA, 2003, liver, 35, num, living
CA, 2003, pancreas, -, num, living
CA, 2003, heart, -, num, living
CA, 2003, lung, -, num, living
CA, 2003, heart/lung, -, num, living
CA, 2003, kidney, 12.70, pmp, living
CA, 2003, liver, 1.10, pmp, living
CA, 2003, pancreas, -, pmp, living
CA, 2003, heart, -, pmp, living
CA, 2003, lung, -, pmp, living
CA, 2003, heart/lung, -, pmp, living
CA, 2004, kidney, 586, num, deceased
CA, 2004, liver, 364, num, deceased
CA, 2004, pancreas, 16, num, deceased
CA, 2004, heart, 143, num, deceased
CA, 2004, lung, 29, num, deceased
CA, 2004, heart/lung, -, num, deceased
CA, 2004, kidney, 18.40, pmp, deceased
CA, 2004, liver, 11.40, pmp, deceased
CA, 2004, pancreas, 0.5, pmp, deceased
CA, 2004, heart, 4.5, pmp, deceased
CA, 2004, lung, 0.9, pmp, deceased
CA, 2004, heart/lung, -, pmp, deceased
CA, 2004, kidney, 413, num, living
CA, 2004, liver, 53, num, living
CA, 2004, pancreas, -, num, living
CA, 2004, heart, -, num, living
CA, 2004, lung, -, num, living
CA, 2004, heart/lung, -, num, living
CA, 2004, kidney, 12.90, pmp, living
CA, 2004, liver, 1.7, pmp, living
CA, 2004, pancreas, -, pmp, living
CA, 2004, heart, -, pmp, living
CA, 2004, lung, -, pmp, living
CA, 2004, heart/lung, -, pmp, living
CA, 2005, kidney, 587, num, deceased
CA, 2005, liver, 356, num, deceased
CA, 2005, pancreas, 18, num, deceased
CA, 2005, heart, 173, num, deceased
CA, 2005, lung, 17, num, deceased
CA, 2005, heart/lung, -, num, deceased
CA, 2005, kidney, 18.20, pmp, deceased
CA, 2005, liver, 11, pmp, deceased
CA, 2005, pancreas, 0.5, pmp, deceased
CA, 2005, heart, 5.30, pmp, deceased
CA, 2005, lung, 0.5, pmp, deceased
CA, 2005, heart/lung, -, pmp, deceased
CA, 2005, kidney, 443, num, living
CA, 2005, liver, 50, num, living
CA, 2005, pancreas, -, num, living
CA, 2005, heart, -, num, living
CA, 2005, lung, -, num, living
CA, 2005, heart/lung, -, num, living
CA, 2005, kidney, 13.70, pmp, living
CA, 2005, liver, 1.5, pmp, living
CA, 2005, pancreas, -, pmp, living
CA, 2005, heart, -, pmp, living
CA, 2005, lung, -, pmp, living
CA, 2005, heart/lung, -, pmp, living
CA, 2006, kidney, 691, num, deceased
CA, 2006, liver, 393, num, deceased
CA, 2006, pancreas, 20, num, deceased
CA, 2006, heart, 177, num, deceased
CA, 2006, lung, 23, num, deceased
CA, 2006, heart/lung, -, num, deceased
CA, 2006, kidney, 20.90, pmp, deceased
CA, 2006, liver, 11.90, pmp, deceased
CA, 2006, pancreas, 0.6, pmp, deceased
CA, 2006, heart, 5.30, pmp, deceased
CA, 2006, lung, 0.7, pmp, deceased
CA, 2006, heart/lung, -, pmp, deceased
CA, 2006, kidney, 496, num, living
CA, 2006, liver, 67, num, living
CA, 2006, pancreas, -, num, living
CA, 2006, heart, -, num, living
CA, 2006, lung, -, num, living
CA, 2006, heart/lung, -, num, living
CA, 2006, kidney, 15, pmp, living
CA, 2006, liver, 2, pmp, living
CA, 2006, pancreas, -, pmp, living
CA, 2006, heart, -, pmp, living
CA, 2006, lung, -, pmp, living
CA, 2006, heart/lung, -, pmp, living
CA, 2007, kidney, 696, num, deceased
CA, 2007, liver, 411, num, deceased
CA, 2007, pancreas, 19, num, deceased
CA, 2007, heart, 169, num, deceased
CA, 2007, lung, 33, num, deceased
CA, 2007, heart/lung, -, num, deceased
CA, 2007, kidney, 21, pmp, deceased
CA, 2007, liver, 12.40, pmp, deceased
CA, 2007, pancreas, 0.6, pmp, deceased
CA, 2007, heart, 5.10, pmp, deceased
CA, 2007, lung, 1, pmp, deceased
CA, 2007, heart/lung, -, pmp, deceased
CA, 2007, kidney, 480, num, living
CA, 2007, liver, 69, num, living
CA, 2007, pancreas, -, num, living
CA, 2007, heart, -, num, living
CA, 2007, lung, -, num, living
CA, 2007, heart/lung, -, num, living
CA, 2007, kidney, 14.5, pmp, living
CA, 2007, liver, 2.10, pmp, living
CA, 2007, pancreas, -, pmp, living
CA, 2007, heart, -, pmp, living
CA, 2007, lung, -, pmp, living
CA, 2007, heart/lung, -, pmp, living
CA, 2008, kidney, 702, num, deceased
CA, 2008, liver, 367, num, deceased
CA, 2008, pancreas, 21, num, deceased
CA, 2008, heart, 162, num, deceased
CA, 2008, lung, 31, num, deceased
CA, 2008, heart/lung, -, num, deceased
CA, 2008, kidney, 21.10, pmp, deceased
CA, 2008, liver, 11.10, pmp, deceased
CA, 2008, pancreas, 0.6, pmp, deceased
CA, 2008, heart, 4.90, pmp, deceased
CA, 2008, lung, 0.9, pmp, deceased
CA, 2008, heart/lung, -, pmp, deceased
CA, 2008, kidney, 474, num, living
CA, 2008, liver, 67, num, living
CA, 2008, pancreas, -, num, living
CA, 2008, heart, -, num, living
CA, 2008, lung, -, num, living
CA, 2008, heart/lung, -, num, living
CA, 2008, kidney, 14.30, pmp, living
CA, 2008, liver, 2, pmp, living
CA, 2008, pancreas, -, pmp, living
CA, 2008, heart, -, pmp, living
CA, 2008, lung, -, pmp, living
CA, 2008, heart/lung, -, pmp, living
CA, 2009, kidney, 729, num, deceased
CA, 2009, liver, 378, num, deceased
CA, 2009, pancreas, 22, num, deceased
CA, 2009, heart, 168, num, deceased
CA, 2009, lung, 29, num, deceased
CA, 2009, heart/lung, -, num, deceased
CA, 2009, kidney, 21.60, pmp, deceased
CA, 2009, liver, 11.20, pmp, deceased
CA, 2009, pancreas, 0.7, pmp, deceased
CA, 2009, heart, 5, pmp, deceased
CA, 2009, lung, 0.9, pmp, deceased
CA, 2009, heart/lung, -, pmp, deceased
CA, 2009, kidney, 452, num, living
CA, 2009, liver, 65, num, living
CA, 2009, pancreas, -, num, living
CA, 2009, heart, -, num, living
CA, 2009, lung, -, num, living
CA, 2009, heart/lung, -, num, living
CA, 2009, kidney, 13.40, pmp, living
CA, 2009, liver, 1.9, pmp, living
CA, 2009, pancreas, -, pmp, living
CA, 2009, heart, -, pmp, living
CA, 2009, lung, -, pmp, living
CA, 2009, heart/lung, -, pmp, living
CA, 2010, kidney, 737, num, deceased
CA, 2010, liver, 426, num, deceased
CA, 2010, pancreas, 23, num, deceased
CA, 2010, heart, 167, num, deceased
CA, 2010, lung, 25, num, deceased
CA, 2010, heart/lung, -, num, deceased
CA, 2010, kidney, 21.60, pmp, deceased
CA, 2010, liver, 12.5, pmp, deceased
CA, 2010, pancreas, 0.7, pmp, deceased
CA, 2010, heart, 4.90, pmp, deceased
CA, 2010, lung, 0.7, pmp, deceased
CA, 2010, heart/lung, -, pmp, deceased
CA, 2010, kidney, 485, num, living
CA, 2010, liver, 64, num, living
CA, 2010, pancreas, -, num, living
CA, 2010, heart, -, num, living
CA, 2010, lung, -, num, living
CA, 2010, heart/lung, -, num, living
CA, 2010, kidney, 14.20, pmp, living
CA, 2010, liver, 1.9, pmp, living
CA, 2010, pancreas, -, pmp, living
CA, 2010, heart, -, pmp, living
CA, 2010, lung, -, pmp, living
CA, 2010, heart/lung, -, pmp, living
CA, 2011, kidney, 865, num, deceased
CA, 2011, liver, 421, num, deceased
CA, 2011, pancreas, 109, num, deceased
CA, 2011, heart, 157, num, deceased
CA, 2011, lung, 180, num, deceased
CA, 2011, heart/lung, -, num, deceased
CA, 2011, kidney, 25.09, pmp, deceased
CA, 2011, liver, 12.21, pmp, deceased
CA, 2011, pancreas, 3.16, pmp, deceased
CA, 2011, heart, 4.55, pmp, deceased
CA, 2011, lung, 5.22, pmp, deceased
CA, 2011, heart/lung, -, pmp, deceased
CA, 2011, kidney, 433, num, living
CA, 2011, liver, 64, num, living
CA, 2011, pancreas, -, num, living
CA, 2011, heart, -, num, living
CA, 2011, lung, -, num, living
CA, 2011, heart/lung, -, num, living
CA, 2011, kidney, 12.56, pmp, living
CA, 2011, liver, 1.86, pmp, living
CA, 2011, pancreas, -, pmp, living
CA, 2011, heart, -, pmp, living
CA, 2011, lung, -, pmp, living
CA, 2011, heart/lung, -, pmp, living
CA, 2012, kidney, 704, num, deceased
CA, 2012, liver, 320, num, deceased
CA, 2012, pancreas, 60, num, deceased
CA, 2012, heart, 132, num, deceased
CA, 2012, lung, 151, num, deceased
CA, 2012, heart/lung, -, num, deceased
CA, 2012, kidney, 20.69, pmp, deceased
CA, 2012, liver, 9.40, pmp, deceased
CA, 2012, pancreas, 1.76, pmp, deceased
CA, 2012, heart, 3.88, pmp, deceased
CA, 2012, lung, 4.43, pmp, deceased
CA, 2012, heart/lung, -, pmp, deceased
CA, 2012, kidney, 418, num, living
CA, 2012, liver, 78, num, living
CA, 2012, pancreas, -, num, living
CA, 2012, heart, -, num, living
CA, 2012, lung, -, num, living
CA, 2012, heart/lung, -, num, living
CA, 2012, kidney, 12.29, pmp, living
CA, 2012, liver, 2.29, pmp, living
CA, 2012, pancreas, -, pmp, living
CA, 2012, heart, -, pmp, living
CA, 2012, lung, -, pmp, living
CA, 2012, heart/lung, -, pmp, living
CA, 2013, kidney, 1342, num, deceased
CA, 2013, liver, 499, num, deceased
CA, 2013, pancreas, 77, num, deceased
CA, 2013, heart, 208, num, deceased
CA, 2013, lung, 314, num, deceased
CA, 2013, heart/lung, -, num, deceased
CA, 2013, kidney, 38.10, pmp, deceased
CA, 2013, liver, 14.20, pmp, deceased
CA, 2013, pancreas, 2.20, pmp, deceased
CA, 2013, heart, 5.90, pmp, deceased
CA, 2013, lung, 8.90, pmp, deceased
CA, 2013, heart/lung, -, pmp, deceased
CA, 2013, kidney, 0, num, living
CA, 2013, liver, 0, num, living
CA, 2013, pancreas, -, num, living
CA, 2013, heart, -, num, living
CA, 2013, lung, -, num, living
CA, 2013, heart/lung, -, num, living
CA, 2013, kidney, 0, pmp, living
CA, 2013, liver, 0, pmp, living
CA, 2013, pancreas, -, pmp, living
CA, 2013, heart, -, pmp, living
CA, 2013, lung, -, pmp, living
CA, 2013, heart/lung, -, pmp, living
CA, 2014, kidney, 971, num, deceased
CA, 2014, liver, 449, num, deceased
CA, 2014, pancreas, 80, num, deceased
CA, 2014, heart, 162, num, deceased
CA, 2014, lung, 230, num, deceased
CA, 2014, heart/lung, -, num, deceased
CA, 2014, kidney, 27.30, pmp, deceased
CA, 2014, liver, 12.60, pmp, deceased
CA, 2014, pancreas, 2.30, pmp, deceased
CA, 2014, heart, 4.60, pmp, deceased
CA, 2014, lung, 6.5, pmp, deceased
CA, 2014, heart/lung, -, pmp, deceased
CA, 2014, kidney, 464, num, living
CA, 2014, liver, 89, num, living
CA, 2014, pancreas, -, num, living
CA, 2014, heart, -, num, living
CA, 2014, lung, -, num, living
CA, 2014, heart/lung, -, num, living
CA, 2014, kidney, 13.10, pmp, living
CA, 2014, liver, 2.5, pmp, living
CA, 2014, pancreas, -, pmp, living
CA, 2014, heart, -, pmp, living
CA, 2014, lung, -, pmp, living
CA, 2014, heart/lung, -, pmp, living
CA, 2015, kidney, 1051, num, deceased
CA, 2015, liver, 459, num, deceased
CA, 2015, pancreas, 77, num, deceased
CA, 2015, heart, 176, num, deceased
CA, 2015, lung, 281, num, deceased
CA, 2015, heart/lung, -, num, deceased
CA, 2015, kidney, 29.30, pmp, deceased
CA, 2015, liver, 12.80, pmp, deceased
CA, 2015, pancreas, 2.10, pmp, deceased
CA, 2015, heart, 4.90, pmp, deceased
CA, 2015, lung, 7.80, pmp, deceased
CA, 2015, heart/lung, -, pmp, deceased
CA, 2015, kidney, 481, num, living
CA, 2015, liver, 82, num, living
CA, 2015, pancreas, -, num, living
CA, 2015, heart, -, num, living
CA, 2015, lung, -, num, living
CA, 2015, heart/lung, -, num, living
CA, 2015, kidney, 13.40, pmp, living
CA, 2015, liver, 2.30, pmp, living
CA, 2015, pancreas, -, pmp, living
CA, 2015, heart, -, pmp, living
CA, 2015, lung, -, pmp, living
CA, 2015, heart/lung, -, pmp, living
CA, 2016, kidney, 1260, num, deceased
CA, 2016, liver, 509, num, deceased
CA, 2016, pancreas, 97, num, deceased
CA, 2016, heart, 204, num, deceased
CA, 2016, lung, 302, num, deceased
CA, 2016, heart/lung, -, num, deceased
CA, 2016, kidney, 34.74, pmp, deceased
CA, 2016, liver, 14.04, pmp, deceased
CA, 2016, pancreas, 2.67, pmp, deceased
CA, 2016, heart, 5.63, pmp, deceased
CA, 2016, lung, 8.33, pmp, deceased
CA, 2016, heart/lung, -, pmp, deceased
CA, 2016, kidney, 472, num, living
CA, 2016, liver, 73, num, living
CA, 2016, pancreas, -, num, living
CA, 2016, heart, -, num, living
CA, 2016, lung, -, num, living
CA, 2016, heart/lung, -, num, living
CA, 2016, kidney, 13.02, pmp, living
CA, 2016, liver, 2.01, pmp, living
CA, 2016, pancreas, -, pmp, living
CA, 2016, heart, -, pmp, living
CA, 2016, lung, -, pmp, living
CA, 2016, heart/lung, -, pmp, living
CA, 2017, kidney, 1299, num, deceased
CA, 2017, liver, 524, num, deceased
CA, 2017, pancreas, 76, num, deceased
CA, 2017, heart, 215, num, deceased
CA, 2017, lung, 348, num, deceased
CA, 2017, heart/lung, -, num, deceased
CA, 2017, kidney, 35.49, pmp, deceased
CA, 2017, liver, 14.32, pmp, deceased
CA, 2017, pancreas, 2.08, pmp, deceased
CA, 2017, heart, 5.87, pmp, deceased
CA, 2017, lung, 9.51, pmp, deceased
CA, 2017, heart/lung, -, pmp, deceased
CA, 2017, kidney, 472, num, living
CA, 2017, liver, 61, num, living
CA, 2017, pancreas, -, num, living
CA, 2017, heart, -, num, living
CA, 2017, lung, -, num, living
CA, 2017, heart/lung, -, num, living
CA, 2017, kidney, 12.90, pmp, living
CA, 2017, liver, 1.67, pmp, living
CA, 2017, pancreas, -, pmp, living
CA, 2017, heart, -, pmp, living
CA, 2017, lung, -, pmp, living
CA, 2017, heart/lung, -, pmp, living
CA, 2017, kidney, 1299, num, deceased
CA, 2017, liver, 524, num, deceased
CA, 2017, pancreas, 76, num, deceased
CA, 2017, heart, 215, num, deceased
CA, 2017, lung, 348, num, deceased
CA, 2017, heart/lung, -, num, deceased
CA, 2017, kidney, 35.49, pmp, deceased
CA, 2017, liver, 14.32, pmp, deceased
CA, 2017, pancreas, 2.08, pmp, deceased
CA, 2017, heart, 5.87, pmp, deceased
CA, 2017, lung, 9.51, pmp, deceased
CA, 2017, heart/lung, -, pmp, deceased
CA, 2017, kidney, 472, num, living
CA, 2017, liver, 61, num, living
CA, 2017, pancreas, -, num, living
CA, 2017, heart, -, num, living
CA, 2017, lung, -, num, living
CA, 2017, heart/lung, -, num, living
CA, 2017, kidney, 12.90, pmp, living
CA, 2017, liver, 1.67, pmp, living
CA, 2017, pancreas, -, pmp, living
CA, 2017, heart, -, pmp, living
CA, 2017, lung, -, pmp, living
CA, 2017, heart/lung, -, pmp, living
CL, 1993, kidney, 0, num, deceased
CL, 1993, liver, 0, num, deceased
CL, 1993, pancreas, 0, num, deceased
CL, 1993, heart, 0, num, deceased
CL, 1993, lung, 0, num, deceased
CL, 1993, heart/lung, -, num, deceased
CL, 1993, kidney, 0, pmp, deceased
CL, 1993, liver, 0, pmp, deceased
CL, 1993, pancreas, 0, pmp, deceased
CL, 1993, heart, 0, pmp, deceased
CL, 1993, lung, 0, pmp, deceased
CL, 1993, heart/lung, -, pmp, deceased
CL, 1993, kidney, 0, num, living
CL, 1993, liver, 0, num, living
CL, 1993, pancreas, -, num, living
CL, 1993, heart, -, num, living
CL, 1993, lung, -, num, living
CL, 1993, heart/lung, -, num, living
CL, 1993, kidney, 0, pmp, living
CL, 1993, liver, 0, pmp, living
CL, 1993, pancreas, -, pmp, living
CL, 1993, heart, -, pmp, living
CL, 1993, lung, -, pmp, living
CL, 1993, heart/lung, -, pmp, living
CL, 1994, kidney, 0, num, deceased
CL, 1994, liver, 0, num, deceased
CL, 1994, pancreas, 0, num, deceased
CL, 1994, heart, 0, num, deceased
CL, 1994, lung, 0, num, deceased
CL, 1994, heart/lung, -, num, deceased
CL, 1994, kidney, 0, pmp, deceased
CL, 1994, liver, 0, pmp, deceased
CL, 1994, pancreas, 0, pmp, deceased
CL, 1994, heart, 0, pmp, deceased
CL, 1994, lung, 0, pmp, deceased
CL, 1994, heart/lung, -, pmp, deceased
CL, 1994, kidney, 0, num, living
CL, 1994, liver, 0, num, living
CL, 1994, pancreas, -, num, living
CL, 1994, heart, -, num, living
CL, 1994, lung, -, num, living
CL, 1994, heart/lung, -, num, living
CL, 1994, kidney, 0, pmp, living
CL, 1994, liver, 0, pmp, living
CL, 1994, pancreas, -, pmp, living
CL, 1994, heart, -, pmp, living
CL, 1994, lung, -, pmp, living
CL, 1994, heart/lung, -, pmp, living
CL, 1995, kidney, 0, num, deceased
CL, 1995, liver, 0, num, deceased
CL, 1995, pancreas, 0, num, deceased
CL, 1995, heart, 0, num, deceased
CL, 1995, lung, 0, num, deceased
CL, 1995, heart/lung, -, num, deceased
CL, 1995, kidney, 0, pmp, deceased
CL, 1995, liver, 0, pmp, deceased
CL, 1995, pancreas, 0, pmp, deceased
CL, 1995, heart, 0, pmp, deceased
CL, 1995, lung, 0, pmp, deceased
CL, 1995, heart/lung, -, pmp, deceased
CL, 1995, kidney, 0, num, living
CL, 1995, liver, 0, num, living
CL, 1995, pancreas, -, num, living
CL, 1995, heart, -, num, living
CL, 1995, lung, -, num, living
CL, 1995, heart/lung, -, num, living
CL, 1995, kidney, 0, pmp, living
CL, 1995, liver, 0, pmp, living
CL, 1995, pancreas, -, pmp, living
CL, 1995, heart, -, pmp, living
CL, 1995, lung, -, pmp, living
CL, 1995, heart/lung, -, pmp, living
CL, 1996, kidney, 0, num, deceased
CL, 1996, liver, 0, num, deceased
CL, 1996, pancreas, 0, num, deceased
CL, 1996, heart, 0, num, deceased
